Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-8-SHE,UZB-8-GOLI,UZB-8-KAM,UZB-8-OPE,Tekshiruv,UZB-8-SHE.1,UZB-8-GOLI.1,UZB-8-KAM.1,UZB-8-OPE.1,month
08 Surxondaryo,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,122,53,35,35,0,1,408.1,269.5,269.5,0,iyul
08 Surxondaryo,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,20,0,0,20,0,ok,0.0,0.0,143.2,0,iyul
08 Surxondaryo,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,52,24,12,16,0,ok,142.56,71.28,95.04,0,iyul
08 Surxondaryo,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,28,12,8,8,0,ok,75.6,50.4,50.4,0,iyul
08 Surxondaryo,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,60,60,0,0,0,ok,333.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,120,52,32,36,0,ok,327.59999999999997,201.6,226.79999999999998,0,iyul
08 Surxondaryo,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,36,16,12,12,0,4,104.8,78.6,78.6,0,iyul
08 Surxondaryo,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,10,4,3,3,0,ok,43.52,32.64,32.64,0,iyul
08 Surxondaryo,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,24,12,8,8,0,4,129.89999999999998,86.6,86.6,0,iyul
08 Surxondaryo,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,147,63,42,42,0,ok,352.8,235.20000000000002,235.20000000000002,0,iyul
08 Surxondaryo,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,472,204,132,136,0,ok,1142.3999999999999,739.1999999999999,761.5999999999999,0,iyul
08 Surxondaryo,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,120,60,0,60,0,ok,291.0,0.0,291.0,0,iyul
08 Surxondaryo,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,209,0,0,209,0,ok,0.0,0.0,1013.65,0,iyul
08 Surxondaryo,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,80,40,20,20,0,ok,247.5,123.75,123.75,0,iyul
08 Surxondaryo,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,160,60,40,60,0,ok,303.0,202.0,303.0,0,iyul
08 Surxondaryo,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,29,13,8,8,0,ok,120.63999999999999,74.24,74.24,0,iyul
08 Surxondaryo,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,88,38,25,25,0,ok,283.48,186.5,186.5,0,iyul
08 Surxondaryo,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,180,60,120,0,0,ok,358.2,716.4,0.0,0,iyul
08 Surxondaryo,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,29,13,8,8,0,ok,134.03,82.48,82.48,0,iyul
08 Surxondaryo,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,8,3,2,2,0,-1,26.31,17.54,17.54,0,iyul
08 Surxondaryo,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",200,87,57,57,0,1,174.0,114.0,114.0,0,iyul
08 Surxondaryo,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",300,130,85,85,0,ok,149.5,97.74999999999999,97.74999999999999,0,iyul
08 Surxondaryo,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",20,9,6,6,0,1,10.799999999999999,7.199999999999999,7.199999999999999,0,iyul
08 Surxondaryo,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",300,130,85,85,0,ok,156.0,102.0,102.0,0,iyul
08 Surxondaryo,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",20,9,6,6,0,1,10.35,6.8999999999999995,6.8999999999999995,0,iyul
08 Surxondaryo,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",500,217,142,142,0,1,249.54999999999998,163.29999999999998,163.29999999999998,0,iyul
08 Surxondaryo,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,30,13,8,8,0,-1,53.3,32.8,32.8,0,iyul
08 Surxondaryo,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",100,43,28,28,0,-1,79.55,51.800000000000004,51.800000000000004,0,iyul
08 Surxondaryo,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",100,43,28,28,0,-1,98.89999999999999,64.39999999999999,64.39999999999999,0,iyul
08 Surxondaryo,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,25,11,7,7,0,ok,22.549999999999997,14.349999999999998,14.349999999999998,0,iyul
08 Surxondaryo,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,45,20,13,13,0,1,31.0,20.150000000000002,20.150000000000002,0,iyul
08 Surxondaryo,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,30,13,8,8,0,-1,30.55,18.8,18.8,0,iyul
08 Surxondaryo,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,200,87,57,57,0,1,160.95000000000002,105.45,105.45,0,iyul
08 Surxondaryo,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,150,65,42,42,0,-1,146.25,94.5,94.5,0,iyul
08 Surxondaryo,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,140,60,40,40,0,ok,179.4,119.6,119.6,0,iyul
08 Surxondaryo,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,15,9,3,3,0,ok,35.25,11.75,11.75,0,iyul
08 Surxondaryo,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,88,40,24,24,0,ok,141.1,84.66,84.66,0,iyul
08 Surxondaryo,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,16,8,4,4,0,ok,31.36,15.68,15.68,0,iyul
08 Surxondaryo,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,48,20,12,16,0,ok,66.10000000000001,39.660000000000004,52.88,0,iyul
08 Surxondaryo,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,122,53,35,35,0,1,109.18,72.10000000000001,72.10000000000001,0,iyul
08 Surxondaryo,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,245,105,70,70,0,ok,174.3,116.2,116.2,0,iyul
08 Surxondaryo,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,80,40,20,20,0,ok,57.8,28.9,28.9,0,iyul
08 Surxondaryo,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,147,64,42,42,0,1,134.4,88.2,88.2,0,iyul
08 Surxondaryo,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,245,105,70,70,0,ok,178.5,119.0,119.0,0,iyul
08 Surxondaryo,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,50,20,10,10,0,-10,29.5,14.75,14.75,0,iyul
08 Surxondaryo,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,50,20,10,10,0,-10,30.0,15.0,15.0,0,iyul
