Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-14-MIR,UZB-14-SHE,UZB-14-OPE,Tekshiruv,UZB-14-MIR.1,UZB-14-SHE.1,UZB-14-OPE.1,month
14 Qoraqalpogiston,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,158,53,105,0,ok,395.38,783.3,0,iyul
14 Qoraqalpogiston,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,60,60,0,0,ok,358.2,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,13,4,9,0,ok,24.0,54.0,0,iyul
14 Qoraqalpogiston,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,10,3,7,0,ok,26.31,61.39,0,iyul
14 Qoraqalpogiston,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",80,27,53,0,ok,54.0,106.0,0,iyul
14 Qoraqalpogiston,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",120,40,80,0,ok,46.0,92.0,0,iyul
14 Qoraqalpogiston,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,10,3,7,0,ok,9.0,21.0,0,iyul
14 Qoraqalpogiston,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",40,13,27,0,ok,15.6,32.4,0,iyul
14 Qoraqalpogiston,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",150,50,100,0,ok,57.49999999999999,114.99999999999999,0,iyul
14 Qoraqalpogiston,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,10,3,7,0,ok,12.299999999999999,28.699999999999996,0,iyul
14 Qoraqalpogiston,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",50,17,33,0,ok,31.450000000000003,61.050000000000004,0,iyul
14 Qoraqalpogiston,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",20,7,13,0,ok,16.099999999999998,29.9,0,iyul
14 Qoraqalpogiston,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,10,3,7,0,ok,6.1499999999999995,14.349999999999998,0,iyul
14 Qoraqalpogiston,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,6,2,4,0,ok,3.7,7.4,0,iyul
14 Qoraqalpogiston,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,10,3,7,0,ok,4.65,10.85,0,iyul
14 Qoraqalpogiston,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,10,3,7,0,ok,7.050000000000001,16.45,0,iyul
14 Qoraqalpogiston,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,10,3,7,0,ok,5.550000000000001,12.950000000000001,0,iyul
14 Qoraqalpogiston,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,20,7,13,0,ok,15.75,29.25,0,iyul
14 Qoraqalpogiston,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,80,40,40,0,ok,119.6,119.6,0,iyul
14 Qoraqalpogiston,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,88,28,60,0,ok,98.77,211.64999999999998,0,iyul
14 Qoraqalpogiston,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,72,24,48,0,ok,79.32000000000001,158.64000000000001,0,iyul
14 Qoraqalpogiston,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,17,6,11,0,ok,12.36,22.66,0,iyul
14 Qoraqalpogiston,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,20,5,15,0,ok,8.3,24.900000000000002,0,iyul
14 Qoraqalpogiston,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,17,6,11,0,ok,12.600000000000001,23.1,0,iyul
14 Qoraqalpogiston,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,20,5,15,0,ok,8.5,25.5,0,iyul
14 Qoraqalpogiston,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,10,0,10,0,ok,0.0,14.75,0,iyul
14 Qoraqalpogiston,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,10,0,10,0,ok,0.0,15.0,0,iyul
