Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-12-ZOK,UZB-12-MUR,UZB-12-JAM,UZB-12-MUZ,UZB-12-OPE,Tekshiruv,UZB-12-ZOK.1,UZB-12-MUR.1,UZB-12-JAM.1,UZB-12-MUZ.1,UZB-12-OPE.1,month
12 Xorazm,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,160,40,40,40,40,0,ok,264.0,264.0,264.0,264.0,0,iyul
12 Xorazm,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,209,0,0,0,209,0,ok,0.0,0.0,0.0,1001.11,0,iyul
12 Xorazm,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,1180,320,320,240,300,0,ok,1760.0,1760.0,1320.0,1650.0,0,iyul
12 Xorazm,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,104,32,24,24,24,0,ok,176.0,132.0,132.0,132.0,0,iyul
12 Xorazm,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,101,27,27,21,27,0,1,243.54,243.54,189.42,243.54,0,iyul
12 Xorazm,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,12,4,4,4,4,0,4,36.08,36.08,36.08,36.08,0,iyul
12 Xorazm,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,30,8,8,6,8,0,ok,61.2,61.2,45.900000000000006,61.2,0,iyul
12 Xorazm,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,20,0,20,0,0,0,ok,0.0,142.0,0.0,0.0,0,iyul
12 Xorazm,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,22,6,6,5,6,0,1,46.2,46.2,38.5,46.2,0,iyul
12 Xorazm,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,140,40,40,20,40,0,ok,286.4,286.4,143.2,286.4,0,iyul
12 Xorazm,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,57,15,15,12,15,0,ok,89.10000000000001,89.10000000000001,71.28,89.10000000000001,0,iyul
12 Xorazm,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,24,8,8,4,8,0,4,47.52,47.52,23.76,47.52,0,iyul
12 Xorazm,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,68,24,20,12,16,0,4,151.2,126.0,75.6,100.8,0,iyul
12 Xorazm,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,60,60,0,0,0,0,ok,333.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,408,108,108,84,108,0,ok,680.4,680.4,529.1999999999999,680.4,0,iyul
12 Xorazm,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,40,12,12,8,12,0,4,78.6,78.6,52.4,78.6,0,iyul
12 Xorazm,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,72,18,18,18,18,0,ok,100.80000000000001,100.80000000000001,100.80000000000001,100.80000000000001,0,iyul
12 Xorazm,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,444,120,116,92,116,0,ok,672.0,649.5999999999999,515.1999999999999,649.5999999999999,0,iyul
12 Xorazm,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,120,60,0,0,60,0,ok,291.0,0.0,0.0,291.0,0,iyul
12 Xorazm,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,209,0,209,0,0,0,ok,0.0,1013.65,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
