Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-1-AXM,UZB-1-FUR,UZB-1-BEG,UZB-1-DOS,UZB-1-NUR,UZB-1-GOLB,UZB-1-UMI,UZB-1-GAY,UZB-1-SAID,UZB-1-OPE,Tekshiruv,UZB-1-AXM.1,UZB-1-FUR.1,UZB-1-BEG.1,UZB-1-DOS.1,UZB-1-NUR.1,UZB-1-GOLB.1,UZB-1-UMI.1,UZB-1-GAY.1,UZB-1-SAID.1,UZB-1-OPE.1,month
01 Tashkent,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,64,8,8,8,8,8,0,8,8,8,0,ok,44.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,44.0,0,iyul
01 Tashkent,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,606,70,73,73,86,54,65,57,64,63,0,-1,631.4,658.4599999999999,658.4599999999999,775.7199999999999,487.08,586.3,514.14,577.28,568.26,0,iyul
01 Tashkent,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,88,12,8,12,12,8,8,12,8,8,0,ok,108.24,72.16,108.24,108.24,72.16,72.16,108.24,72.16,72.16,0,iyul
01 Tashkent,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,6,1,1,1,0,1,0,1,1,1,0,1,11.0,11.0,11.0,0.0,11.0,0.0,11.0,11.0,11.0,0,iyul
01 Tashkent,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,34,4,4,4,5,4,4,3,4,4,0,2,28.08,28.08,28.08,35.099999999999994,28.08,28.08,21.06,28.08,28.08,0,iyul
01 Tashkent,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,36,5,4,4,5,3,4,3,4,4,0,ok,61.349999999999994,49.08,49.08,61.349999999999994,36.81,49.08,36.81,49.08,49.08,0,iyul
01 Tashkent,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,107,12,13,13,15,10,12,10,11,11,0,ok,91.80000000000001,99.45,99.45,114.75,76.5,91.80000000000001,76.5,84.15,84.15,0,iyul
01 Tashkent,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,142,18,17,17,20,13,15,13,15,15,0,1,138.6,130.9,130.9,154.0,100.10000000000001,115.5,100.10000000000001,115.5,115.5,0,iyul
01 Tashkent,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,60,60,0,0,0,0,0,0,0,0,0,ok,429.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,111,18,12,12,15,9,12,9,12,12,0,ok,106.92,71.28,71.28,89.10000000000001,53.46,71.28,53.46,71.28,71.28,0,iyul
01 Tashkent,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,136,20,16,16,20,12,8,12,16,16,0,ok,118.80000000000001,95.04,95.04,118.80000000000001,71.28,47.52,71.28,95.04,95.04,0,iyul
01 Tashkent,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,104,16,12,12,16,8,12,8,12,8,0,ok,100.8,75.6,75.6,100.8,50.4,75.6,50.4,75.6,50.4,0,iyul
01 Tashkent,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,360,60,60,60,60,0,60,60,0,0,0,ok,333.0,333.0,333.0,333.0,0.0,333.0,333.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,209,0,0,0,0,0,0,0,0,209,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.95,0,iyul
01 Tashkent,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,160,16,20,12,32,16,16,16,16,16,0,ok,100.8,126.0,75.6,201.6,100.8,100.8,100.8,100.8,100.8,0,iyul
01 Tashkent,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,220,24,28,28,28,20,24,20,24,24,0,ok,157.2,183.4,183.4,183.4,131.0,157.2,131.0,157.2,157.2,0,iyul
01 Tashkent,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,180,0,60,0,0,0,60,0,60,0,0,ok,0.0,344.40000000000003,0.0,0.0,0.0,344.40000000000003,0.0,344.40000000000003,0.0,0,iyul
01 Tashkent,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,190,22,23,22,27,17,21,18,20,20,0,ok,239.36,250.24,239.36,293.76000000000005,184.96,228.48000000000002,195.84,217.60000000000002,217.60000000000002,0,iyul
01 Tashkent,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,32,0,4,4,4,4,4,4,4,4,0,ok,0.0,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,0,iyul
01 Tashkent,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,159,18,21,17,23,14,17,15,17,17,0,ok,270.0,315.0,255.0,345.0,210.0,255.0,225.0,255.0,255.0,0,iyul
01 Tashkent,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,357,45,42,42,51,33,39,33,39,36,0,3,252.0,235.20000000000002,235.20000000000002,285.6,184.79999999999998,218.4,184.79999999999998,218.4,201.60000000000002,0,iyul
01 Tashkent,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,1572,184,188,188,224,140,168,148,164,164,0,-4,1030.3999999999999,1052.8,1052.8,1254.3999999999999,784.0,940.8,828.8,918.4,918.4,0,iyul
01 Tashkent,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,420,60,0,60,60,0,120,0,60,60,0,ok,291.0,0.0,291.0,291.0,0.0,582.0,0.0,291.0,291.0,0,iyul
01 Tashkent,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,418,0,0,0,209,0,0,209,0,0,0,ok,0.0,0.0,0.0,1013.65,0.0,0.0,1013.65,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,20,0,20,0,0,0,0,0,0,0,0,ok,0.0,123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,100,20,20,20,0,0,20,0,20,20,0,20,101.0,101.0,101.0,0.0,0.0,101.0,0.0,101.0,101.0,0,iyul
01 Tashkent,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,209,0,209,0,0,0,0,0,0,0,0,ok,0.0,950.9499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,12,1,3,1,2,1,1,1,1,1,0,ok,9.28,27.839999999999996,9.28,18.56,9.28,9.28,9.28,9.28,9.28,0,iyul
01 Tashkent,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,12,1,3,1,2,1,1,1,1,1,0,ok,9.28,27.839999999999996,9.28,18.56,9.28,9.28,9.28,9.28,9.28,0,iyul
01 Tashkent,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,299,35,36,36,42,27,32,28,31,31,0,-1,261.1,268.56,268.56,313.32,201.42,238.72,208.88,231.26,231.26,0,iyul
01 Tashkent,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,360,60,0,60,60,60,60,0,0,60,0,ok,358.2,0.0,358.2,358.2,358.2,358.2,0.0,0.0,358.2,0,iyul
01 Tashkent,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,209,0,0,209,0,0,0,0,0,0,0,ok,0.0,0.0,1247.73,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,38,4,3,5,5,3,4,4,4,4,0,-2,24.76,18.57,30.950000000000003,30.950000000000003,18.57,24.76,24.76,24.76,24.76,0,iyul
01 Tashkent,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,209,0,0,0,0,0,0,0,209,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.55,0.0,0,iyul
01 Tashkent,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,110,13,13,13,16,12,12,10,12,11,0,2,78.0,78.0,78.0,96.0,72.0,72.0,60.0,72.0,66.0,0,iyul
01 Tashkent,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,190,22,23,23,41,16,7,18,20,20,0,ok,226.82000000000002,237.13000000000002,237.13000000000002,422.71000000000004,164.96,72.17,185.58,206.20000000000002,206.20000000000002,0,iyul
01 Tashkent,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,33,4,4,4,5,4,4,3,3,3,0,1,35.08,35.08,35.08,43.849999999999994,35.08,35.08,26.31,26.31,26.31,0,iyul
01 Tashkent,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,280,40,40,40,40,0,40,20,40,20,0,ok,250.0,250.0,250.0,250.0,0.0,250.0,125.0,250.0,125.0,0,iyul
01 Tashkent,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",164,19,20,20,23,15,18,15,17,17,0,ok,38.0,40.0,40.0,46.0,30.0,36.0,30.0,34.0,34.0,0,iyul
01 Tashkent,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",380,44,46,46,54,34,41,36,40,40,0,1,50.599999999999994,52.9,52.9,62.099999999999994,39.099999999999994,47.15,41.4,46.0,46.0,0,iyul
01 Tashkent,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",2624,306,315,315,373,235,283,246,276,274,0,-1,351.9,362.25,362.25,428.95,270.25,325.45,282.9,317.4,315.09999999999997,0,iyul
01 Tashkent,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,57,7,7,7,8,5,6,5,6,6,0,ok,21.0,21.0,21.0,24.0,15.0,18.0,15.0,18.0,18.0,0,iyul
01 Tashkent,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",287,33,34,35,41,26,31,27,30,30,0,ok,39.6,40.8,42.0,49.199999999999996,31.2,37.199999999999996,32.4,36.0,36.0,0,iyul
01 Tashkent,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",1640,191,197,197,233,147,177,153,173,171,0,-1,229.2,236.39999999999998,236.39999999999998,279.59999999999997,176.4,212.4,183.6,207.6,205.2,0,iyul
01 Tashkent,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",123,14,15,15,17,11,13,12,13,13,0,ok,16.099999999999998,17.25,17.25,19.549999999999997,12.649999999999999,14.95,13.799999999999999,14.95,14.95,0,iyul
01 Tashkent,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",2460,287,295,296,350,221,266,230,259,257,0,1,330.04999999999995,339.25,340.4,402.49999999999994,254.14999999999998,305.9,264.5,297.84999999999997,295.54999999999995,0,iyul
01 Tashkent,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,123,14,15,15,17,11,13,12,13,13,0,ok,57.39999999999999,61.49999999999999,61.49999999999999,69.69999999999999,45.099999999999994,53.3,49.199999999999996,53.3,53.3,0,iyul
01 Tashkent,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,25,3,3,3,4,2,3,2,3,3,0,1,11.55,11.55,11.55,15.4,7.7,11.55,7.7,11.55,11.55,0,iyul
01 Tashkent,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",410,48,49,49,58,37,44,38,43,43,0,-1,88.80000000000001,90.65,90.65,107.30000000000001,68.45,81.4,70.3,79.55,79.55,0,iyul
