Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-4-ISLM,UZB-4-MUR,UZB-4-QODI,UZB-4-BOB,UZB-4-OPE,Tekshiruv,UZB-4-ISLM.1,UZB-4-MUR.1,UZB-4-QODI.1,UZB-4-BOB.1,UZB-4-OPE.1,month
04 Namangan,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,836,209,209,209,209,0,ok,1013.65,1013.65,1013.65,1013.65,0.0,iyul
04 Namangan,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,60,20,20,20,0,0,ok,123.75,123.75,123.75,0.0,0.0,iyul
04 Namangan,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,60,20,20,20,0,0,ok,101.0,101.0,101.0,0.0,0.0,iyul
04 Namangan,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,209,0,0,0,0,209,ok,0.0,0.0,0.0,0.0,950.9499999999999,iyul
04 Namangan,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,29,8,9,6,3,2,-1,74.24,83.52,55.67999999999999,27.839999999999996,18.56,iyul
04 Namangan,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,707,192,228,149,81,57,ok,1432.32,1700.8799999999999,1111.54,604.26,425.21999999999997,iyul
04 Namangan,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,840,180,300,180,120,60,ok,1074.6,1791.0,1074.6,716.4,358.2,iyul
04 Namangan,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,209,209,0,0,0,0,ok,1247.73,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,30,15,15,0,0,0,ok,90.29,90.29,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,15,0,15,0,0,0,ok,0.0,78.33,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,35,10,11,7,4,3,ok,103.10000000000001,113.41000000000001,72.17,41.24,30.93,iyul
04 Namangan,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,12,3,4,3,1,1,ok,26.31,35.08,26.31,8.77,8.77,iyul
04 Namangan,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,20,0,20,0,0,0,ok,0.0,125.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",360,98,116,76,41,29,ok,196.0,232.0,152.0,82.0,58.0,iyul
04 Namangan,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",400,109,129,84,46,32,ok,125.35,148.35,96.6,52.9,36.8,iyul
04 Namangan,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,30,8,10,6,3,2,-1,24.0,30.0,18.0,9.0,6.0,iyul
04 Namangan,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",240,65,77,51,27,19,-1,78.0,92.39999999999999,61.199999999999996,32.4,22.8,iyul
04 Namangan,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",370,101,119,78,42,30,ok,116.14999999999999,136.85,89.69999999999999,48.3,34.5,iyul
04 Namangan,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,24,7,8,5,3,2,1,28.699999999999996,32.8,20.5,12.299999999999999,8.2,iyul
04 Namangan,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,15,4,5,3,2,1,ok,15.4,19.25,11.55,7.7,3.85,iyul
04 Namangan,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",145,39,47,31,17,12,1,72.15,86.95,57.35,31.450000000000003,22.200000000000003,iyul
04 Namangan,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",145,39,47,31,17,12,1,89.69999999999999,108.1,71.3,39.099999999999994,27.599999999999998,iyul
04 Namangan,EP-AF-440,77,FILTER,EPSENT Air-Filter AF440 Nexia 3,15,4,5,3,2,1,ok,8.2,10.25,6.1499999999999995,4.1,2.05,iyul
04 Namangan,EP-AF-599,78,FILTER,EPSENT Air-Filter AF599 Spark 1.0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-AF-600,79,FILTER,EPSENT Air-Filter AF600 Spark 1.0,5,1,2,1,1,0,ok,1.8,3.6,1.8,1.8,0.0,iyul
04 Namangan,EP-AF-601,80,FILTER,EPSENT Air-Filter AF601 Spark 1.25,8,2,3,2,1,1,1,3.7,5.550000000000001,3.7,1.85,1.85,iyul
04 Namangan,EP-AF-605,81,FILTER,EPSENT Air-Filter AF605 Nexia 1,3,1,1,1,0,0,ok,1.55,1.55,1.55,0.0,0.0,iyul
04 Namangan,EP-AF-663,82,FILTER,EPSENT Air-Filter AF663 Captiva 1,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-AF-701,83,FILTER,EPSENT Air-Filter AF701 Lacetti,45,12,15,9,5,4,ok,28.200000000000003,35.25,21.150000000000002,11.75,9.4,iyul
04 Namangan,EP-AF-715,84,FILTER,EPSENT Air-Filter AF715 Cobalt,45,12,15,9,5,4,ok,22.200000000000003,27.75,16.650000000000002,9.25,7.4,iyul
04 Namangan,EP-AF-859,85,FILTER,EPSENT Air-Filter AF859 Matiz,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-AF-951,86,FILTER,EPSENT Air-Filter AF951 Damas,70,19,23,15,8,6,1,42.75,51.75,33.75,18.0,13.5,iyul
04 Namangan,EP-AF-957,87,FILTER,EPSENT Air-Filter AF957 Tico,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,LB-004.020,88,HYDRAULIC,LUBRENT HYDRAULIC RADEON 46 - 20L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,LB-005.004,89,GASOLINE,LUBRENT SPECTOR BLAZE 5W30 - API SN 4x4L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,LB-001.003,90,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 6x3L,9,3,3,3,0,0,ok,11.75,11.75,11.75,0.0,0.0,iyul
04 Namangan,LB-001.004,91,GASOLINE,LUBRENT SPECTOR ATLON 10W40 - API SG 4x4L,24,8,8,4,4,0,ok,28.22,28.22,14.11,14.11,0.0,iyul
04 Namangan,LB-003.003,92,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 6x3L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,LB-003.004,93,GASOLINE,LUBRENT SPECTOR UNITY 10W40 - API SL/CF 4x4L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,LB-002.003,94,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 6x3L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,LB-002.004,95,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 4x4L,76,20,24,16,8,8,ok,66.10000000000001,79.32000000000001,52.88,26.44,26.44,iyul
04 Namangan,LB-002.020,96,GASOLINE,LUBRENT SPECTOR ATLON 15W40 - API SG 20L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,LB-060.020,97,DIESEL,LUBRENT DMO OPTIMAL API CI-4/SL 15W40 -  20L,20,0,20,0,0,0,ok,0.0,67.2,0.0,0.0,0.0,iyul
04 Namangan,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,57,16,18,12,7,5,1,32.96,37.08,24.72,14.42,10.3,iyul
04 Namangan,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,20,5,10,5,0,0,ok,8.3,16.6,8.3,0.0,0.0,iyul
04 Namangan,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,120,40,40,20,20,0,ok,57.8,57.8,28.9,28.9,0.0,iyul
04 Namangan,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,51,14,16,11,6,4,ok,29.400000000000002,33.6,23.1,12.600000000000001,8.4,iyul
04 Namangan,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,5,0,5,0,0,0,ok,0.0,8.5,0.0,0.0,0.0,iyul
04 Namangan,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
